GeneID	Length	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO1_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO3_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO4_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO5_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO7_1.fq.gz.subread.BAM	X.home.xubuntu.Desktop.Mjaw..3.files1.SLO8_1.fq.gz.subread.BAM
26038	9663	5	4	4	5	1	2
6146	2085	2264	1454	1621	2252	1223	1715
388591	3971	18	24	36	40	12	21
23463	4815	528	541	653	593	396	416
148645	1265	1	0	1	1	0	0
390992	697	0	0	0	0	0	0
387509	4082	13	30	53	40	44	17
11332	2389	41	55	29	37	49	14
100130071	778	0	1	1	0	1	0
54626	4262	0	0	0	0	0	0
83715	3531	8	13	2	11	3	8
100422975	63	0	0	0	0	0	0
8718	1916	438	277	238	688	278	592
57449	5645	12	17	20	56	15	59
79707	6712	777	753	759	982	714	931
80835	2795	5	6	13	13	13	6
3104	2338	295	345	345	388	370	233
9903	4487	453	515	549	717	780	630
148479	3670	93	177	128	165	137	123
90326	2052	33	33	36	48	39	32
55735	3293	274	278	366	356	246	242
100505887	466	0	0	0	0	0	0
23261	8442	100	126	92	231	59	74
100505935	1208	136	163	109	196	86	132
100505910	492	0	0	0	0	0	0
9341	2205	1489	1286	1160	1488	835	1031
8863	6203	100	219	179	290	59	156
10911	755	11	10	5	5	4	6
3604	1884	55	41	40	45	60	31
11315	961	921	1032	855	1386	804	510
54206	3129	20	27	43	17	20	29
50651	2401	7	7	12	5	5	7
473	8321	979	1923	1301	1375	1534	2049
100505990	474	0	2	0	2	1	0
2023	1812	5190	5336	4137	6236	3892	2594
100505975	447	6	5	3	7	5	4
765	1339	246	39	11	106	74	197
155184	1539	1	0	0	1	0	1
6518	3064	39	54	50	50	117	8
100302218	84	0	0	0	0	3	0
80045	1153	32	11	10	23	25	19
407040	110	0	0	0	0	0	1
727721	527	0	3	2	4	0	2
9563	9117	1325	1719	1280	1605	1538	1331
80176	3118	83	96	50	65	59	50
100506022	801	1	3	0	3	0	1
84275	1461	67	46	64	54	45	50
199953	6542	37	50	64	54	58	61
5293	5411	3310	3710	3192	4101	4154	3732
644997	1823	86	85	65	75	114	122
22883	5192	743	1075	1051	926	789	908
645010	662	0	0	1	1	1	2
56998	2995	246	351	212	301	234	195
84328	1407	302	314	289	391	236	240
64802	3781	282	259	215	383	218	169
116362	655	212	207	172	224	138	147
10277	5905	1210	1647	1416	1476	1468	1516
23095	16016	1536	1664	1838	1940	1868	1696
100287506	577	2	3	0	0	1	1
5226	1937	4561	4759	2466	4520	2913	2003
378708	2525	20	9	22	19	14	14
1325	935	3	3	4	5	4	5
1676	3408	236	254	247	279	178	150
5195	1926	101	142	136	112	115	142
54897	8526	78	103	193	76	117	94
148345	2761	7	12	16	19	8	8
23435	4217	783	942	943	943	666	1184
10747	2600	185	198	199	189	173	310
6723	1273	46	92	102	86	78	66
5394	2808	815	949	928	1025	759	819
2475	8725	1622	2023	1908	1969	1662	1641
10218	2238	44	55	46	48	32	57
29914	3654	253	252	238	388	289	334
57540	5214	2	3	8	12	5	6
26232	1536	15	18	8	10	24	18
93611	3527	197	236	187	238	219	229
26270	1551	208	191	136	128	108	75
10459	1328	184	210	159	177	131	142
374946	1773	7	9	7	3	10	14
100506086	3349	9	15	9	11	17	21
57085	1280	1017	1490	886	1178	1123	558
100506273	1320	0	0	0	0	0	0
284498	2560	0	0	0	0	0	1
100506310	2233	0	0	0	0	0	0
100506116	1718	0	0	0	0	0	0
4524	7150	1041	1325	1036	1085	841	730
1185	5654	513	782	492	539	472	404
4878	855	10	22	23	27	15	14
4879	698	1	1	3	0	0	0
26829	119	196	240	291	145	32	114
90231	2341	500	613	508	653	573	404
5351	3004	321	540	472	520	381	237
9927	4677	1742	1761	1666	3469	2338	1207
60672	1588	386	540	390	456	506	247
943	3736	201	322	229	279	218	197
7133	3675	5919	7119	6945	6919	5903	4336
55187	16329	4536	5578	5613	5872	4549	5562
677885	152	10	3	3	9	4	5
9249	1806	186	236	167	329	257	220
343066	1575	0	0	0	0	0	0
126767	4049	0	0	0	0	0	0
93190	1019	0	0	0	0	0	0
390999	1786	0	0	0	0	0	0
65121	1606	0	0	0	0	0	0
440560	1839	0	0	0	0	0	0
343069	1108	4	3	3	5	6	0
65122	1642	0	0	0	0	0	0
400735	1840	0	0	0	0	0	0
343071	1518	0	0	0	0	0	0
441871	1425	0	0	0	0	0	0
440561	1720	0	0	0	0	0	0
653606	1446	0	0	0	0	0	0
729368	1674	0	0	0	0	0	0
441873	1571	0	0	0	0	0	0
440563	1156	0	0	0	0	0	0
645359	1188	0	0	0	0	0	0
401940	2104	0	0	0	0	0	0
343068	1855	0	0	0	0	0	0
391002	1844	0	0	0	0	0	0
343070	1863	0	0	0	0	0	0
400736	2164	0	0	0	0	0	0
391003	2123	0	0	0	0	0	0
654348	1587	0	0	0	0	0	0
391001	1508	0	0	0	0	0	0
729516	1496	0	0	0	0	0	0
653619	1862	0	0	0	0	0	0
729528	2100	0	0	0	0	0	0
645414	2123	0	0	0	0	0	0
391004	1557	0	0	0	0	0	0
645425	1597	0	0	0	0	0	0
126755	1908	0	0	0	0	0	0
10630	2980	0	0	0	0	0	0
7799	9583	1077	1548	1567	1300	1285	1689
23254	9368	29	3	1	18	14	17
200197	6979	3	1	1	2	1	2
55092	2238	39	27	43	38	6	37
114827	5090	6	16	24	35	5	15
79180	2419	2521	3487	3086	3485	3278	2179
11330	899	5	3	7	2	8	9
63036	920	0	0	2	2	1	5
51032	923	12	14	15	17	11	15
842	1993	207	234	235	212	171	129
23341	6025	711	851	831	1034	719	712
100507192	354	28	16	10	6	10	22
79814	2196	109	53	65	78	60	85
645317	513	55	70	64	83	46	33
84301	2680	222	274	237	243	320	240
6248	1854	179	209	232	249	198	215
23207	4122	637	843	675	791	655	621
284723	3070	21	26	23	20	14	31
388595	1520	0	0	0	0	0	0
54751	3773	0	0	2	0	0	2
440567	538	232	246	174	328	186	143
729614	2732	98	98	165	127	90	83
23013	12227	2039	3183	3393	2841	2681	3126
7709	2751	205	279	271	258	219	227
149563	917	0	0	0	0	0	0
27129	2892	2	1	0	0	1	0
1187	2536	0	0	0	0	0	2
1188	2923	0	1	0	0	0	0
348487	1701	0	0	0	0	0	0
1969	3964	14	9	21	11	5	18
100506484	880	0	0	1	1	0	2
128272	3029	52	48	74	88	61	77
79363	1560	33	26	49	40	21	20
54455	2976	473	624	563	551	517	490
26099	3634	1076	1586	1312	1413	1169	1021
374955	2015	23	32	40	28	47	35
55707	2082	1960	1716	1630	2017	1517	1222
114819	5368	293	247	361	269	288	424
26871	164	275	573	253	230	103	134
100506533	423	1	0	0	0	0	1
100133301	510	1	0	0	0	0	0
55672	4283	212	365	275	382	191	371
84809	1765	222	253	297	466	293	359
11209	2636	8	18	7	32	26	27
26869	164	14	19	38	21	5	13
729574	510	0	0	0	0	0	0
284729	2015	0	1	3	0	0	1
729587	510	0	0	0	0	0	0
6060	164	85	68	117	55	46	37
11223	4396	9	11	14	20	4	21
100506687	366	59	62	38	80	23	34
26870	164	220	367	194	123	76	131
9696	6656	122	109	136	157	143	184
4237	1176	3	1	0	1	3	3
23400	3996	274	494	377	382	359	319
6390	1153	706	642	649	835	536	407
11240	4363	1541	2123	1374	2463	2569	1500
400743	573	0	0	0	0	0	0
29943	3847	0	0	0	0	0	0
51702	3189	0	0	0	0	0	0
23569	2265	1098	1826	673	1482	1386	891
353238	2347	2	10	10	8	1	1
55920	4131	1763	2108	2167	2298	1647	1319
55160	4494	513	713	641	658	492	317
81569	1672	0	0	1	0	0	0
84966	1946	0	0	0	0	0	0
127707	5070	21	0	5	1	0	1
5081	6313	0	0	0	0	0	0
80834	2521	0	0	0	0	0	0
8659	3581	51	79	37	85	81	49
100302276	78	2	1	0	0	1	1
126917	5835	708	747	1168	1094	638	1001
23352	15882	5927	9132	7671	8196	7114	7214
23065	4238	748	880	903	1025	759	769
51154	2273	157	117	116	157	109	104
246181	2314	6	3	4	2	4	5
22977	1241	3	11	9	7	7	7
100506730	2490	29	22	20	22	19	30
8574	1362	266	300	222	281	180	132
54896	2255	120	139	122	127	148	124
832	1710	969	1660	1261	1588	1300	1013
644075	2925	78	83	131	68	101	117
644083	2336	101	139	128	106	104	139
440574	3989	294	246	204	323	204	284
4681	2187	14	14	7	37	8	15
3362	1984	7	5	1	11	3	9
255104	2974	190	211	265	244	188	203
54546	1250	0	0	0	0	0	0
23252	6515	346	220	397	353	275	549
30814	487	0	0	1	0	0	0
5320	1032	0	0	0	0	0	0
5322	1894	0	0	0	1	0	0
26279	2630	1	2	3	0	1	0
64600	2719	2	3	0	2	4	3
391013	453	2	0	2	5	4	0
127733	2972	22	24	32	17	60	33
127731	4475	0	3	0	2	1	5
339505	3783	0	0	0	0	0	0
55450	2351	2	4	4	7	4	4
79594	2458	319	308	320	364	297	233
163933	2582	0	0	0	0	0	0
978	960	336	300	201	357	295	194
65018	2660	588	816	462	599	3291	447
1650	2126	2381	2533	2489	2938	1954	1448
57576	3778	2	1	2	1	1	2
400745	3834	0	1	1	0	2	2
50809	3921	3025	2796	3194	2993	2590	2696
8672	6179	2092	2601	2143	2440	1966	1399
100302155	119	10	2	5	3	2	6
1889	5737	1477	1551	1563	2276	1761	1284
100506824	723	50	41	42	79	82	40
100506801	2574	87	46	166	115	83	104
84224	3766	222	151	46	64	199	50
249	2596	622	88	59	716	588	174
5909	3596	17	246	8	15	1228	16
84196	5189	1417	1481	1601	1446	1210	1471
401944	4012	8	6	7	5	8	4
3339	14186	25	37	31	28	38	66
23436	1003	0	0	0	0	0	0
10136	907	0	0	0	0	0	0
29092	1198	142	133	134	165	101	98
998	3155	9689	7998	6786	9871	7079	5937
54361	3905	89	120	100	77	96	106
9923	8992	1511	1646	1701	1845	1468	1883
2046	5411	0	0	0	0	0	1
712	1098	353	391	230	83	141	29
714	1191	49	60	10	3	17	1
713	1044	151	182	96	30	41	6
2048	4869	16	50	47	55	83	56
100422914	68	0	0	0	0	0	0
646262	1554	0	0	0	0	0	0
729059	509	0	0	0	0	0	2
23028	3107	1053	1108	1202	1131	822	913
100422866	68	1	1	5	2	2	1
7798	8487	619	792	909	714	553	678
3352	2835	0	0	0	0	0	0
10236	2741	1416	1074	1519	1371	1043	1108
80818	4814	271	302	292	402	221	254
148898	2869	12	29	14	42	15	33
6920	1586	84	47	20	128	74	134
55616	4152	3	29	15	21	21	13
1870	5192	590	595	287	345	1563	167
3399	1288	49	41	26	52	45	66
259283	1027	26	25	6	42	29	112
729856	468	0	0	0	0	0	2
6135	609	10133	7345	7720	12444	6161	6932
6924	4943	683	842	683	947	704	667
100506963	1077	6	13	14	23	18	19
57095	1622	871	881	450	610	5242	482
11313	1624	370	448	328	475	384	312
2582	1858	71	84	62	99	61	63
3155	1608	230	301	195	317	220	162
2517	2122	559	549	567	784	481	651
1269	1775	88	86	72	60	142	78
55629	2417	11	66	83	142	111	100
10772	4991	42	53	67	109	53	57
127294	5800	0	0	0	0	0	0
58985	2798	0	0	0	0	0	2
163702	4549	68	104	119	53	102	66
284632	1846	0	0	0	0	0	0
57822	3424	1	3	3	2	0	2
90529	2501	20	17	21	39	15	29
57185	5426	894	763	809	1156	815	1066
11123	1700	634	352	251	746	326	895
100506985	2016	848	378	228	868	374	1297
400746	3902	2	1	0	1	0	1
10250	3934	935	1044	1173	1041	781	1235
25932	4434	1172	1080	634	1366	1081	694
864	4767	580	1280	2563	1314	1372	1234
25949	1777	799	504	642	776	436	562
57035	1465	2518	1882	1981	2783	1800	1914
6007	2833	107	137	1	95	162	69
23585	2280	2464	2701	1731	3431	1822	1468
6006	1618	14	16	2	14	83	3
55219	3940	594	494	553	592	663	538
26119	2935	1339	1209	638	2063	1533	1874
57134	3201	205	205	139	223	141	376
100507013	2224	48	50	22	43	43	117
57190	4332	240	521	354	346	346	295
56181	2403	738	934	544	1141	613	491
646471	3653	137	147	100	162	122	143
79000	2061	20	9	20	16	21	12
164091	3023	179	243	179	235	168	178
3925	3602	256	211	292	191	148	232
5051	3581	355	424	580	535	403	377
2134	4015	1	0	1	0	2	4
7780	2473	0	0	0	0	0	0
84676	1764	0	0	0	1	0	1
149420	4595	292	234	259	351	183	256
79927	1524	0	0	0	0	0	0
100128346	1468	12	12	5	15	8	11
51042	649	10	22	16	22	12	12
10256	2536	11	13	15	10	14	17
378807	1419	1	0	0	0	0	0
64793	3935	537	703	642	696	524	460
83442	1115	3113	4831	2350	4476	4041	2208
91544	2072	806	969	909	882	667	586
1043	505	5020	3738	5291	7555	4280	3700
55057	5245	28	12	48	36	34	68
257101	1653	20	22	140	123	58	216
79727	4014	3	9	6	4	1	9
79947	3301	415	428	404	441	377	362
3151	1969	1276	1176	1205	1285	1047	1460
6195	3383	2444	2859	2377	3190	2595	1806
100302190	52	2	3	0	5	2	2
8289	8585	1743	3875	3236	2892	3119	2993
55650	2365	156	240	183	216	196	114
84243	3139	1123	896	925	1646	1839	1621
2810	1315	2	4	2	5	13	12
54707	1510	232	252	221	258	201	184
63906	2129	147	182	162	189	134	165
8431	1271	1	3	1	2	0	1
10726	1327	222	235	259	297	222	220
126695	1803	9	9	6	16	15	18
646567	456	15	18	25	30	11	12
388610	1949	7	9	7	13	1	8
115572	2374	3	3	3	3	0	4
6548	4572	304	654	428	522	489	423
23038	4802	843	1181	1005	1046	1472	911
84065	1614	190	239	168	193	226	180
644961	2652	85	101	111	88	113	141
84958	1966	540	624	660	823	746	684
9064	4328	116	148	116	108	148	117
8547	1032	0	1	0	0	0	0
388611	1539	0	0	0	0	0	1
2827	2111	30	27	60	23	25	31
10163	4270	1843	3065	2332	2546	3710	2128
27245	6496	40	67	75	70	61	110
2268	2774	6904	8543	7039	8291	6086	3979
2537	860	526	343	430	233	124	203
199870	3462	264	220	342	323	227	290
23673	3079	954	758	742	844	473	553
5511	2811	757	717	759	918	613	601
677774	166	16	9	12	15	5	13
9473	2723	4730	4003	4565	3957	3877	3070
6118	1720	786	651	915	939	811	644
27293	2271	11	9	15	10	13	24
55113	2158	345	255	303	299	273	259
2140	2045	514	538	498	563	501	471
653566	1624	182	170	199	218	136	108
5724	4533	4361	3257	2725	3756	3177	2853
22826	1765	783	797	665	1054	602	507
93974	1911	235	323	285	316	277	278
83667	3485	139	259	283	303	259	178
54797	1869	178	220	183	269	184	157
65979	6492	352	625	699	542	394	504
8420	2346	389	299	425	500	294	389
1104	3027	223	305	263	327	213	159
6080	207	1023	1440	927	1144	789	1093
26768	158	974	1279	961	1323	742	915
54952	2015	268	225	307	364	264	259
85028	739	131	147	160	222	122	200
692212	80	4	14	10	19	6	7
677838	130	16	24	33	41	21	32
677825	132	12	8	9	18	7	19
692073	134	35	25	18	41	40	24
115273	1343	2	0	1	0	1	0
6883	1451	416	324	333	448	280	290
26824	135	1055	1670	1453	833	304	505
10691	1973	252	318	291	287	261	265
51441	3063	1114	1060	1107	1238	860	951
4985	1774	0	0	0	0	0	0
2035	6292	9397	10082	5038	7359	48669	4926
399474	2616	15	7	17	5	12	33
6429	2530	662	612	669	636	501	517
51102	2434	61	57	81	61	44	40
10076	5640	4	5	5	10	1	4
100288450	411	0	0	0	0	0	0
4146	3830	1	4	3	1	7	8
100129196	2050	33	40	35	40	32	69
7805	2240	11789	15441	11735	13482	10873	10823
9672	5121	150	202	94	91	50	35
9698	5385	2322	2598	2551	2533	1903	2410
692234	88	10	10	24	19	6	17
692235	88	21	13	27	17	12	16
692200	75	19	23	20	27	12	14
28997	570	38	37	43	21	20	65
79570	2922	1	0	0	0	0	0
9410	1624	566	624	632	792	498	465
51538	1602	424	571	427	872	396	292
2170	1097	33	60	68	27	47	52
347735	1997	31	57	43	54	25	17
149086	1199	5	3	5	3	1	10
284551	2741	8	2	8	2	0	13
64129	2237	1	0	0	0	0	0
3061	2001	25	21	27	20	21	24
553115	2217	505	662	534	615	512	440
1307	5584	2	0	0	3	0	1
576	5415	4	15	9	13	6	10
100423028	76	0	0	0	0	0	0
90853	3888	92	249	23	134	73	92
8073	3929	5840	8537	8114	8519	5756	5071
100507229	1574	148	69	136	105	61	74
10657	2685	751	1174	1253	1181	866	1147
55116	1818	111	193	158	167	155	128
23633	7373	2107	2462	2358	2543	2575	1891
200081	4796	1219	1345	1376	1549	1123	1052
79140	877	70	79	77	58	60	72
55721	2293	88	103	82	96	75	106
149069	1349	49	66	52	63	68	70
100507457	919	49	50	37	53	58	50
56063	1082	102	156	132	154	142	128
8668	1458	998	916	1006	1219	728	723
339483	2324	12	28	10	19	6	10
84734	956	1	4	0	0	1	2
3932	2233	1932	1443	2290	2181	1773	2125
3065	2091	1699	1604	1794	2029	1536	1365
65108	1546	200	210	290	270	280	321
100128071	699	5	12	14	15	17	21
81629	1317	77	100	100	120	88	116
55108	2910	987	1226	903	1450	1306	927
728116	4019	0	0	0	0	0	0
653121	7333	19	13	16	9	10	22
339487	717	235	233	225	256	168	186
5928	8018	1982	1797	2132	2206	1376	1734
81493	3493	2	2	0	1	1	2
57648	5412	62	97	96	62	38	67
8565	3117	834	982	1005	993	815	578
64766	4526	715	777	928	821	602	824
252995	3184	11	27	22	18	27	31
3208	1406	0	2	0	0	1	1
113452	993	0	1	0	0	1	1
127544	2606	1007	871	1925	1028	920	941
100505584	186	12	7	44	8	4	9
204	3831	1653	1513	1626	1875	1277	1168
113451	2182	24	30	38	51	27	56
55223	3841	114	183	189	156	167	167
149076	3106	218	355	330	352	287	294
1912	4175	959	1182	903	1420	1694	986
7579	4218	61	95	74	95	64	55
114784	13108	1	1	0	0	1	0
127540	2343	0	0	0	0	0	0
84970	3154	0	0	0	0	0	0
693137	96	0	0	0	0	0	0
2709	1281	3	9	0	6	2	1
127534	2840	2	3	0	3	0	0
2707	2352	1	3	0	1	6	0
2701	1622	1	9	3	3	7	4
113444	6373	540	569	482	712	500	404
58512	3587	4	7	10	6	4	3
100506144	918	165	170	155	192	149	144
9204	5145	1164	1076	1392	1384	887	1232
79830	4170	334	155	280	342	153	345
100506168	4675	2906	2170	3115	3072	1713	3361
6421	3073	3667	3197	4409	3970	2969	3886
9202	6994	1840	2013	2025	2264	1563	1740
79932	4812	1444	1873	1540	1582	1536	1397
23154	3705	187	314	200	246	210	195
339488	2189	33	44	50	52	47	47
5690	845	487	566	577	470	345	368
127703	2934	155	193	245	265	168	144
63967	8484	64	80	69	48	40	39
192670	4758	3252	3607	3059	3584	2685	2429
26523	7478	1942	3158	2427	2898	2001	2030
192669	3556	709	793	886	873	713	695
27285	1509	3	1	1	1	1	0
54936	1691	177	231	161	233	161	131
1296	4447	104	90	96	123	81	56
27095	1262	591	585	542	720	403	366
55700	3324	784	1062	870	1070	1059	991
9967	4432	2966	3483	3458	3922	3382	2726
79729	2579	16	25	22	24	15	29
55194	1054	51	104	44	94	97	58
83931	3846	1006	1255	932	1519	1415	1041
100506594	1030	19	17	24	35	25	47
84967	850	124	172	129	166	150	93
127700	1666	15	14	37	30	15	11
64960	965	242	257	302	295	200	173
1441	3490	7070	6620	4982	8853	11262	7277
2899	9219	2	0	0	0	1	0
100422898	72	0	0	0	0	0	0
728431	1430	29	51	33	53	35	24
80149	2716	268	295	649	294	257	274
64769	2147	561	631	705	807	481	542
79753	2471	300	242	316	341	275	358
7802	2649	11	9	9	12	17	21
29889	2402	656	607	755	690	451	528
284654	2985	0	0	0	0	0	0
54955	2355	109	118	113	154	185	114
55143	2303	34	24	54	31	26	24
284656	6644	0	0	0	2	1	2
149175	3107	17	17	41	35	22	47
79693	1836	188	171	299	309	197	263
127687	1318	64	68	83	75	66	38
4520	7972	878	1226	1162	1122	794	769
3633	4454	914	924	853	943	849	695
10946	2841	935	873	1103	1145	765	870
2275	1704	105	189	168	156	204	107
51118	2050	247	224	236	328	186	178
5453	2928	1	1	0	1	0	0
64121	1442	171	240	283	308	191	239
26292	2091	647	487	521	708	368	402
100506806	416	2	2	4	2	1	4
81025	2313	23	33	21	19	28	32
54933	1837	7	7	8	7	6	8
79647	2726	1313	919	1287	1339	1033	1024
4725	571	443	306	365	506	226	289
23499	24105	14925	17999	23575	22776	15501	16911
100292290	309	21	16	15	10	9	15
643314	6979	282	468	399	362	348	405
353500	5626	46	54	74	48	29	82
728448	2637	97	88	145	128	102	119
8761	3204	840	978	1075	1123	647	861
100506950	614	31	34	46	32	16	23
677834	137	23	32	42	29	16	19
26508	4114	3	2	2	3	0	2
84618	1107	0	0	0	0	0	0
51440	4259	87	44	37	143	87	168
10450	4737	337	341	366	396	257	354
656	3773	42	84	64	65	47	63
64064	1824	0	1	6	2	3	1
100287437	1190	2	2	1	4	1	5
54802	2131	400	464	507	580	318	441
4610	4951	687	821	796	1147	735	503
84879	2201	199	180	334	186	159	116
10487	2773	12645	10853	9244	14595	8658	7179
5538	2504	4554	2638	5009	5629	3406	2840
6018	6250	1353	998	1422	1335	896	1241
127391	741	2	2	0	1	2	0
10269	3154	822	578	710	818	436	523
1298	2831	65	44	45	87	138	74
100286988	679	102	110	114	108	134	113
64744	2576	4218	5489	4021	5022	4486	4420
65243	2031	29	36	39	22	26	46
339559	2159	110	97	126	141	86	110
64789	2217	70	67	99	96	57	69
127396	2097	54	51	72	64	30	51
9783	7229	86	101	116	83	69	113
100130557	3182	133	74	96	82	69	124
4802	2821	592	711	637	651	563	623
407034	92	5	7	4	7	11	13
407031	89	9	8	7	6	7	3
9132	4099	6	7	2	4	2	8
163732	1291	30	56	29	26	44	43
1503	3199	207	202	325	210	186	204
100507178	4800	26	32	46	36	21	52
200172	2147	6	9	12	2	6	10
22955	3801	210	294	265	267	216	227
100132074	1723	1	0	2	1	0	1
1907	1243	0	0	0	0	0	0
59269	8872	114	218	269	137	167	173
100507198	1757	39	66	100	46	65	119
2981	597	0	0	0	0	0	1
2980	575	0	1	1	0	0	0
22887	5231	1221	1183	1441	1350	1009	1335
284716	10569	6	11	9	16	7	7
84217	1775	30	26	19	48	23	10
79717	1489	618	518	535	701	420	457
100507214	668	5	9	10	15	9	9
728621	3098	43	29	54	41	36	42
10465	800	199	185	238	232	167	181
100507252	645	6	10	6	5	10	7
4904	1546	2240	1892	1697	1918	3189	1289
149461	3602	2	4	4	4	3	3
64175	2705	322	425	310	450	302	216
79078	1020	79	87	101	109	107	110
100129924	1023	4	12	10	5	13	12
100507268	636	0	0	2	0	0	1
374969	798	124	130	83	133	133	71
114625	3500	387	510	346	516	639	295
51058	1577	74	70	49	106	85	56
6513	3670	349	499	515	545	1737	369
440584	1124	2	3	10	2	4	5
440585	517	0	0	0	0	0	1
